Date,Close
1/2/2018,1189.01001
1/3/2018,1204.199951
1/4/2018,1209.589966
1/5/2018,1229.140015
1/8/2018,1246.869995
1/9/2018,1252.699951
1/10/2018,1254.329956
1/11/2018,1276.680054
1/12/2018,1305.199951
1/16/2018,1304.859985
1/17/2018,1295
1/18/2018,1293.319946
1/19/2018,1294.579956
1/22/2018,1327.310059
1/23/2018,1362.540039
1/24/2018,1357.51001
1/25/2018,1377.949951
1/26/2018,1402.050049
1/29/2018,1417.680054
1/30/2018,1437.819946
1/31/2018,1450.890015
2/1/2018,1390
2/2/2018,1429.949951
2/5/2018,1390
2/6/2018,1442.839966
2/7/2018,1416.780029
2/8/2018,1350.5
2/9/2018,1339.599976
2/12/2018,1386.22998
2/13/2018,1414.51001
2/14/2018,1451.050049
2/15/2018,1461.76001
2/16/2018,1448.689941
2/20/2018,1468.349976
2/21/2018,1482.920044
2/22/2018,1485.339966
2/23/2018,1500
2/26/2018,1521.949951
2/27/2018,1511.97998
2/28/2018,1512.449951
3/1/2018,1493.449951
3/2/2018,1500.25
3/5/2018,1523.609985
3/6/2018,1537.640015
3/7/2018,1545
3/8/2018,1551.859985
3/9/2018,1578.890015
3/12/2018,1598.390015
3/13/2018,1588.180054
3/14/2018,1591
3/15/2018,1582.319946
3/16/2018,1571.680054
3/19/2018,1544.930054
3/20/2018,1586.51001
3/21/2018,1581.859985
3/22/2018,1544.920044
3/23/2018,1495.560059
3/26/2018,1555.859985
3/27/2018,1497.050049
3/28/2018,1431.420044
3/29/2018,1447.339966
4/2/2018,1371.98999
4/3/2018,1392.050049
4/4/2018,1410.569946
4/5/2018,1451.75
4/6/2018,1405.22998
4/9/2018,1406.079956
4/10/2018,1436.219971
4/11/2018,1427.050049
4/12/2018,1448.5
4/13/2018,1430.790039
4/16/2018,1441.5
4/17/2018,1503.829956
4/18/2018,1527.839966
4/19/2018,1556.910034
4/20/2018,1527.48999
4/23/2018,1517.859985
4/24/2018,1460.089966
4/25/2018,1460.170044
4/26/2018,1517.959961
4/27/2018,1572.619995
4/30/2018,1566.130005
5/1/2018,1582.26001
5/2/2018,1569.680054
5/3/2018,1572.079956
5/4/2018,1580.949951
5/7/2018,1600.140015
5/8/2018,1592.390015
5/9/2018,1608
5/10/2018,1609.079956
5/11/2018,1602.910034
5/14/2018,1601.540039
5/15/2018,1576.119995
5/16/2018,1587.280029
