Date,Close
1/2/2018,28.35
1/3/2018,28.700001
1/4/2018,28.549999
1/5/2018,28.9
1/8/2018,29.48
1/9/2018,29.5
1/10/2018,29.799999
1/11/2018,29.76
1/12/2018,29.91
1/15/2018,29.959999
1/16/2018,30.690001
1/17/2018,30.530001
1/18/2018,30.6
1/19/2018,29.950001
1/22/2018,30.01
1/23/2018,30.1
1/24/2018,30.75
1/25/2018,31.700001
1/29/2018,31.26
1/30/2018,30.33
1/31/2018,31.469999
2/1/2018,34.790001
2/2/2018,33.490002
2/5/2018,31.549999
2/6/2018,30.700001
2/7/2018,32.59
2/8/2018,32
2/9/2018,31.77
2/12/2018,31.08
2/13/2018,31.549999
2/14/2018,30.92
2/15/2018,31.76
2/16/2018,32.099998
2/19/2018,32
2/20/2018,31.450001
2/21/2018,31.6
2/22/2018,31.6
2/23/2018,31.559999
2/26/2018,31.66
2/27/2018,31.33
2/28/2018,31.76
3/1/2018,32.23
3/2/2018,32.880001
3/5/2018,30.85
3/6/2018,31.77
3/7/2018,31.790001
3/8/2018,32.23
3/9/2018,31.84
3/12/2018,32.970001
3/13/2018,34
3/14/2018,34.869999
3/15/2018,34.400002
3/16/2018,34.209999
3/19/2018,34.5
3/20/2018,35.25
3/21/2018,34.84
3/22/2018,35
3/23/2018,34.830002
3/26/2018,34.599998
3/27/2018,35.099998
3/28/2018,34.439999
3/29/2018,33.439999
4/3/2018,32.799999
4/4/2018,33.68
4/5/2018,33.73
4/6/2018,34.080002
4/9/2018,33.849998
4/10/2018,35.009998
4/11/2018,34.91
4/12/2018,34.93
4/13/2018,34.959999
4/16/2018,35.5
4/17/2018,35.459999
4/18/2018,36
4/19/2018,37.040001
4/20/2018,37.310001
4/23/2018,37.220001
4/24/2018,37.470001
4/26/2018,37.849998
4/27/2018,38.099998
4/30/2018,38.029999
5/1/2018,38.209999
5/2/2018,39.5
5/3/2018,39.02
5/4/2018,40.049999
5/7/2018,41.09
5/8/2018,39.91
5/9/2018,41.279999
5/10/2018,39.889999
5/11/2018,40
5/14/2018,40.07
5/15/2018,39.990002
5/16/2018,39.790001
5/17/2018,39.490002
5/18/2018,39.459999
5/21/2018,39.860001
5/22/2018,39.240002
5/23/2018,38.369999
5/24/2018,39.110001
5/25/2018,39.5
5/28/2018,40.32
5/29/2018,39.310001
5/30/2018,40.200001
5/31/2018,40.970001
6/1/2018,40.860001
6/4/2018,41.119999
6/5/2018,42.299999
6/6/2018,43.610001
6/7/2018,44.009998
6/8/2018,43.950001
6/12/2018,44.98
6/13/2018,44.77
6/14/2018,45
6/15/2018,45.779999
6/18/2018,45.540001
6/19/2018,45.360001
6/20/2018,45.720001
6/21/2018,47.439999
6/22/2018,46.169998
6/25/2018,46.040001
6/26/2018,45.099998
6/27/2018,46.099998
6/28/2018,45.290001
6/29/2018,45.009998
7/2/2018,45.860001
7/3/2018,46
7/4/2018,45.349998
7/5/2018,45
7/6/2018,45.009998
7/9/2018,45.529999
7/10/2018,45.200001
7/11/2018,44.419998
7/12/2018,45.799999
7/13/2018,46.290001
7/16/2018,46.09
7/17/2018,45.349998
7/18/2018,45.450001
7/19/2018,45.299999
7/20/2018,45.990002
7/23/2018,45.5
7/24/2018,44.98
7/25/2018,44.830002
7/26/2018,44.02
7/27/2018,44.860001
7/30/2018,43.93
7/31/2018,42.799999
8/1/2018,44.139999
8/2/2018,43
8/3/2018,44.720001
8/6/2018,43.59
8/7/2018,44.77
8/8/2018,44.400002
8/9/2018,44.5
8/10/2018,44.73
8/13/2018,45.73
8/14/2018,46.25
8/15/2018,47.25
8/16/2018,47.509998
8/17/2018,47.349998
8/20/2018,47.470001
8/21/2018,49.009998
8/22/2018,49.02
8/23/2018,49.990002
8/24/2018,49.790001
8/27/2018,50.990002
8/28/2018,50.830002
8/29/2018,50.669998
8/30/2018,52.34
8/31/2018,51.07
9/3/2018,51.099998
9/4/2018,49.919998
9/5/2018,48.75
9/6/2018,45.970001
9/7/2018,46.27
9/10/2018,47.759998
9/11/2018,46.860001
9/12/2018,47.419998
9/13/2018,47.169998
9/14/2018,48.209999
9/17/2018,48.799999
9/18/2018,47.860001
9/19/2018,48.259998
9/20/2018,47.610001
9/21/2018,50
9/24/2018,49.970001
9/25/2018,49.029999
9/26/2018,49.689999
9/27/2018,49.209999
9/28/2018,49
10/1/2018,50.610001
10/2/2018,49.959999
10/3/2018,49.549999
10/4/2018,49
10/5/2018,48.490002
10/8/2018,48.84
10/9/2018,46.43
10/10/2018,45.360001
10/11/2018,42.52
10/12/2018,43.290001
10/15/2018,42.34
10/16/2018,41.82
10/17/2018,44.18
10/18/2018,43.830002
10/19/2018,42.75
10/22/2018,42.049999
10/23/2018,41.799999
10/24/2018,40.810001
10/25/2018,39.080002
10/26/2018,38.84
10/29/2018,39.25
10/30/2018,40.23
10/31/2018,39.779999
11/1/2018,41.299999
11/2/2018,40.98
11/5/2018,41.110001
11/6/2018,41.52
11/7/2018,42.970001
11/8/2018,43.75
11/9/2018,42.099998
11/12/2018,40.610001
11/13/2018,40.049999
11/14/2018,39.91
11/15/2018,40.650002
11/16/2018,41.98
11/19/2018,39.77
11/20/2018,37.619999
11/21/2018,36.669998
11/22/2018,37.389999
11/23/2018,37.290001
11/26/2018,37.139999
11/27/2018,37.5
11/28/2018,39.360001
11/29/2018,40.560001
11/30/2018,39.880001
12/3/2018,40.919998
12/4/2018,40.639999
12/5/2018,39.43
12/6/2018,38.939999
12/7/2018,38.759998
12/10/2018,37.200001
12/11/2018,37.549999
12/12/2018,39.299999
12/13/2018,39.950001
12/14/2018,39.16
12/17/2018,39.959999
12/18/2018,39.029999
12/19/2018,39.099998
12/20/2018,38.529999
12/21/2018,39.419998
12/24/2018,40.720001
12/27/2018,41.75
12/28/2018,41.900002
12/31/2018,42.02
1/2/2019,41.950001
1/3/2019,42.09
1/4/2019,40.900002
1/7/2019,41.91
1/8/2019,43.52
1/9/2019,43.5
1/10/2019,43
1/11/2019,42.66
1/14/2019,42
1/15/2019,42.349998
1/16/2019,42.950001
1/17/2019,42.450001
1/18/2019,42.130001
1/21/2019,42.240002
1/22/2019,42.59
1/23/2019,42.200001
1/24/2019,42.009998
1/25/2019,42.299999
1/29/2019,41.82
